name,team,position,wc2026
Alex Arce,Paraguay,Attack,True
Julio Enciso,Paraguay,Attack,True
Gabriel Avalos,Paraguay,Attack,True
Gustavo Caballero,Paraguay,Attack,True
Isidro Pitta,Paraguay,Attack,True
Mathew Ryan,Australia,Goalkeeper,True
Paul Izzo,Australia,Goalkeeper,True
Patrick Beach,Australia,Goalkeeper,True
Milos Degenek,Australia,Defender,True
Alessandro Circati,Australia,Defender,True
Jacob Italiano,Australia,Defender,True
Jordan Bos,Australia,Defender,True
Jason Geria,Australia,Defender,True
Kai Trewin,Australia,Defender,True
Aziz Behich,Australia,Defender,True
Harry Souttar,Australia,Defender,True
Cameron Burgess,Australia,Defender,True
Lucas Herrington,Australia,Defender,True
Connor Metcalfe,Australia,Midfield,True
Ajdin Hrustic,Australia,Midfield,True
Aiden O'Neill,Australia,Midfield,True
Cameron Devlin,Australia,Midfield,True
Jackson Irvine,Australia,Midfield,True
Paul Okon-Engstler,Australia,Midfield,True
Mathew Leckie,Australia,Attack,True
Mohamed Toure,Australia,Attack,True
Awer Mabil,Australia,Attack,True
Nestory Irankunda,Australia,Attack,True
Cristian Volpato,Australia,Attack,True
Nishan Velupillay,Australia,Attack,True
Tete Yengi,Australia,Attack,True
Mert Gunok,Turkey,Goalkeeper,True
Altay Bayindir,Turkey,Goalkeeper,True
Ugurcan Cakir,Turkey,Goalkeeper,True
Zeki Celik,Turkey,Defender,True
Merih Demiral,Turkey,Defender,True
Caglar Soyuncu,Turkey,Defender,True
Eren Elmali,Turkey,Defender,True
Abdulkerim Bardakci,Turkey,Defender,True
Ozan Kabak,Turkey,Defender,True
Mert Muldur,Turkey,Defender,True
Ferdi Kadioglu,Turkey,Defender,True
Samet Akaydin,Turkey,Defender,True
Salih Ozcan,Turkey,Midfield,True
Orkun Kokcu,Turkey,Midfield,True
Hakan Calhanoglu,Turkey,Midfield,True
Ismail Yuksek,Turkey,Midfield,True
Kaan Ayhan,Turkey,Midfield,True
Kerem Akturkoglu,Turkey,Attack,True
Arda Guler,Turkey,Attack,True
Deniz Gul,Turkey,Attack,True
Kenan Yildiz,Turkey,Attack,True
Irfan Can Kahveci,Turkey,Attack,True
Yunus Akgun,Turkey,Attack,True
Baris Alper Yilmaz,Turkey,Attack,True
Oguz Aydin,Turkey,Attack,True
Can Uzun,Turkey,Attack,True
Manuel Neuer,Germany,Goalkeeper,True
Oliver Baumann,Germany,Goalkeeper,True
Alexander Nubel,Germany,Goalkeeper,True
Antonio Rudiger,Germany,Defender,True
Waldemar Anton,Germany,Defender,True
Jonathan Tah,Germany,Defender,True
Nico Schlotterbeck,Germany,Defender,True
Nathaniel Brown,Germany,Defender,True
David Raum,Germany,Defender,True
Malick Thiaw,Germany,Defender,True
Aleksandar Pavlovic,Germany,Midfield,True
Joshua Kimmich,Germany,Midfield,True
Leon Goretzka,Germany,Midfield,True
Jamie Leweling,Germany,Midfield,True
Jamal Musiala,Germany,Midfield,True
Pascal Gross,Germany,Midfield,True
Angelo Stiller,Germany,Midfield,True
Florian Wirtz,Germany,Midfield,True
Leroy Sane,Germany,Midfield,True
Nadiem Amiri,Germany,Midfield,True
Felix Nmecha,Germany,Midfield,True
Assan Ouedraogo,Germany,Midfield,True
Kai Havertz,Germany,Attack,True
Nick Woltemade,Germany,Attack,True
Maximilian Beier,Germany,Attack,True
Deniz Undav,Germany,Attack,True
Eloy Room,Curaçao,Goalkeeper,True
Tyrick Bodak,Curaçao,Goalkeeper,True
Trevor Doornbusch,Curaçao,Goalkeeper,True
Shurandy Sambo,Curaçao,Defender,True
Jurien Gaari,Curaçao,Defender,True
Roshon van Ejima,Curaçao,Defender,True
Sherel Floranus,Curaçao,Defender,True
Armando Obispo,Curaçao,Defender,True
Joshua Brenet,Curaçao,Defender,True
Riechedly Bazoer,Curaçao,Defender,True
Deveron Fonville,Curaçao,Defender,True
Godfried Roemeratoe,Curaçao,Midfield,True
Juninho Bacuna,Curaçao,Midfield,True
Livano Comenencia,Curaçao,Midfield,True
Leandro Bacuna,Curaçao,Midfield,True
Tyrese Noslin,Curaçao,Midfield,True
Ar'jany Martha,Curaçao,Midfield,True
Kevin Felida,Curaçao,Midfield,True
Jurgen Locadia,Curaçao,Attack,True
Jeremy Antonisse,Curaçao,Attack,True
Sontje Hansen,Curaçao,Attack,True
Kenji Gorre,Curaçao,Attack,True
Jearl Margaritha,Curaçao,Attack,True
Brandley Kuwas,Curaçao,Attack,True
Gervane Kastaneer,Curaçao,Attack,True
Tahith Chong,Curaçao,Attack,True
Yahia Fofana,Ivory Coast,Goalkeeper,True
Mohamed Kone,Ivory Coast,Goalkeeper,True
Alban Lafont,Ivory Coast,Goalkeeper,True
Ousmane Diomande,Ivory Coast,Defender,True
Ghislain Konan,Ivory Coast,Defender,True
Wilfried Singo,Ivory Coast,Defender,True
Odilon Kossounou,Ivory Coast,Defender,True
Christopher Operi,Ivory Coast,Defender,True
Guela Doue,Ivory Coast,Defender,True
Emmanuel Agbadou,Ivory Coast,Defender,True
Evan Ndicka,Ivory Coast,Defender,True
Jean Michael Seri,Ivory Coast,Midfield,True
Seko Fofana,Ivory Coast,Midfield,True
Franck Kessie,Ivory Coast,Midfield,True
Ibrahim Sangare,Ivory Coast,Midfield,True
Parfait Guiagon,Ivory Coast,Midfield,True
Christ Inao Oulai,Ivory Coast,Midfield,True
Ange-Yoan Bonny,Ivory Coast,Attack,True
Simon Adingra,Ivory Coast,Attack,True
Yan Diomande,Ivory Coast,Attack,True
Elye Wahi,Ivory Coast,Attack,True
Oumar Diakite,Ivory Coast,Attack,True
Amad Diallo,Ivory Coast,Attack,True
Nicolas Pepe,Ivory Coast,Attack,True
Evann Guessand,Ivory Coast,Attack,True
Bazouamana Traore,Ivory Coast,Attack,True
Hernan Galindez,Ecuador,Goalkeeper,True
Moises Ramirez,Ecuador,Goalkeeper,True
Gonzalo Valle,Ecuador,Goalkeeper,True
Felix Torres,Ecuador,Defender,True
Piero Hincapie,Ecuador,Defender,True
Joel Ordonez,Ecuador,Defender,True
Willian Pacho,Ecuador,Defender,True
Pervis Estupinan,Ecuador,Defender,True
Angelo Preciado,Ecuador,Defender,True
Jackson Porozo,Ecuador,Defender,True
Denil Castillo,Ecuador,Midfield,True
John Yeboah,Ecuador,Midfield,True
Kendry Paez,Ecuador,Midfield,True
Alan Minda,Ecuador,Midfield,True
Pedro Vite,Ecuador,Midfield,True
Gonzalo Plata,Ecuador,Midfield,True
Moises Caicedo,Ecuador,Midfield,True
Yaimar Medina,Ecuador,Midfield,True
Kevin Rodriguez,Ecuador,Attack,True
Enner Valencia,Ecuador,Attack,True
Anthony Valencia,Ecuador,Attack,True
Jordy Caicedo,Ecuador,Attack,True
Nilson Angulo,Ecuador,Attack,True
Jeremy Arevalo,Ecuador,Attack,True
Bart Verbruggen,Netherlands,Goalkeeper,True
Robin Roefs,Netherlands,Goalkeeper,True
Mark Flekken,Netherlands,Goalkeeper,True
Jurrien Timber,Netherlands,Defender,True
Virgil van Dijk,Netherlands,Defender,True
Nathan Ake,Netherlands,Defender,True
Jan Paul van Hecke,Netherlands,Defender,True
Mats Wieffer,Netherlands,Defender,True
Micky van de Ven,Netherlands,Defender,True
Denzel Dumfries,Netherlands,Defender,True
Jorrel Hato,Netherlands,Defender,True
Marten de Roon,Netherlands,Midfield,True
Justin Kluivert,Netherlands,Midfield,True
Ryan Gravenberch,Netherlands,Midfield,True
Tijjani Reijnders,Netherlands,Midfield,True
Guus Til,Netherlands,Midfield,True
Teun Koopmeiners,Netherlands,Midfield,True
Frenkie de Jong,Netherlands,Midfield,True
Quinten Timber,Netherlands,Midfield,True
Wout Weghorst,Netherlands,Attack,True
Memphis Depay,Netherlands,Attack,True
Cody Gakpo,Netherlands,Attack,True
Noa Lang,Netherlands,Attack,True
Donyell Malen,Netherlands,Attack,True
Brian Brobbey,Netherlands,Attack,True
Crysencio Summerville,Netherlands,Attack,True
Zion Suzuki,Japan,Goalkeeper,True
Keisuke Osako,Japan,Goalkeeper,True
Tomoki Hayakawa,Japan,Goalkeeper,True
Yukinari Sugawara,Japan,Defender,True
Shogo Taniguchi,Japan,Defender,True
Ko Itakura,Japan,Defender,True
Yuta Nagatomo,Japan,Defender,True
Tsuyoshi Watanabe,Japan,Defender,True
Ayumu Seko,Japan,Defender,True
Hiroki Ito,Japan,Defender,True
Takehiro Tomiyasu,Japan,Defender,True
Junnosuke Suzuki,Japan,Defender,True
Wataru Endo,Japan,Midfield,True
Ao Tanaka,Japan,Midfield,True
Takefusa Kubo,Japan,Midfield,True
Ritsu Doan,Japan,Midfield,True
Keito Nakamura,Japan,Midfield,True
Junya Ito,Japan,Midfield,True
Daichi Kamada,Japan,Midfield,True
Kaishu Sano,Japan,Midfield,True
Keisuke Goto,Japan,Attack,True
Daizen Maeda,Japan,Attack,True
Yuito Suzuki,Japan,Attack,True
Ayase Ueda,Japan,Attack,True
Koki Ogawa,Japan,Attack,True
Kento Shiogai,Japan,Attack,True
Jacob Widell Zetterstrom,Sweden,Goalkeeper,True
Viktor Johansson,Sweden,Goalkeeper,True
Kristoffer Nordfeldt,Sweden,Goalkeeper,True
Gustaf Lagerbielke,Sweden,Defender,True
Victor Lindelof,Sweden,Defender,True
Isak Hien,Sweden,Defender,True
Gabriel Gudmundsson,Sweden,Defender,True
Herman Johansson,Sweden,Defender,True
Daniel Svensson,Sweden,Defender,True
Hjalmar Ekdal,Sweden,Defender,True
Carl Starfelt,Sweden,Defender,True
Eric Smith,Sweden,Defender,True
Elliot Stroud,Sweden,Defender,True
Lucas Bergvall,Sweden,Midfield,True
Ken Sema,Sweden,Midfield,True
Jesper Karlstrom,Sweden,Midfield,True
Yasin Ayari,Sweden,Midfield,True
Mattias Svanberg,Sweden,Midfield,True
Besfort Zeneli,Sweden,Midfield,True
Taha Ali,Sweden,Midfield,True
Alexander Isak,Sweden,Attack,True
Benjamin Nygren,Sweden,Attack,True
Anthony Elanga,Sweden,Attack,True
Viktor Gyokeres,Sweden,Attack,True
Alexander Bernhardsson,Sweden,Attack,True
Gustaf Nilsson,Sweden,Attack,True
Mouhib Chamakh,Tunisia,Goalkeeper,True
Aymen Dahmen,Tunisia,Goalkeeper,True
Sabri Ben Heesen,Tunisia,Goalkeeper,True
Ali Abdi,Tunisia,Defender,True
Montassar Talbi,Tunisia,Defender,True
Omar Rekik,Tunisia,Defender,True
Adem Arous,Tunisia,Defender,True
Dylan Bronn,Tunisia,Defender,True
Mortadha Ben Ouanes,Tunisia,Defender,True
Yan Valery,Tunisia,Defender,True
Mohamed Amine Ben Hamida,Tunisia,Defender,True
Moutas Neffati,Tunisia,Defender,True
Raed Chikhaoui,Tunisia,Defender,True
Hannibal Mejbri,Tunisia,Midfield,True
Ismael Gharbi,Tunisia,Midfield,True
Rani Khedira,Tunisia,Midfield,True
Khalil Ayari,Tunisia,Midfield,True
Hadj Mahmoud,Tunisia,Midfield,True
Ellyes Skhiri,Tunisia,Midfield,True
Anis Ben Slimane,Tunisia,Midfield,True
Sebastian Tounekti,Tunisia,Midfield,True
Elias Achouri,Tunisia,Attack,True
Elias Saad,Tunisia,Attack,True
Hazem Mastouri,Tunisia,Attack,True
Rayan Elloumi,Tunisia,Attack,True
Firas Chaouat,Tunisia,Attack,True
Thibaut Courtois,Belgium,Goalkeeper,True
Senne Lammens,Belgium,Goalkeeper,True
Mike Penders,Belgium,Goalkeeper,True
Zeno Debast,Belgium,Defender,True
Arthur Theate,Belgium,Defender,True
Branden Mechele,Belgium,Defender,True
Maxim De Cuyper,Belgium,Defender,True
Thomas Meunier,Belgium,Defender,True
Koni De Winter,Belgium,Defender,True
Joaquin Seys,Belgium,Defender,True
Timothy Castagne,Belgium,Defender,True
Nathan Ngoy,Belgium,Defender,True
Axel Witsel,Belgium,Midfield,True
Kevin De Bruyne,Belgium,Midfield,True
Youri Tielemans,Belgium,Midfield,True
Diego Moreira,Belgium,Midfield,True
